,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
152,Maldives,MDV,Gini index,SI.POV.GINI,,,41.3,40.885714285714286,40.47142857142857,40.05714285714286,39.64285714285714,39.22857142857143,38.81428571428571,38.4,37.385714285714286,36.371428571428574,35.357142857142854,34.34285714285714,33.32857142857143,32.31428571428572,31.3,30.633333333333333,29.96666666666667,29.3,29.3,29.3,29.3
154,Mexico,MEX,Gini index,SI.POV.GINI,52.6,51.35,50.1,50.05,50.0,50.1,48.9,49.4,49.9,48.55,47.2,47.95,48.7,48.7,48.7,48.2,47.7,47.2,46.7,46.05,45.4,45.4,45.4
155,Marshall Islands,MHL,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,35.5,35.5,35.5,35.5
157,North Macedonia,MKD,Gini index,SI.POV.GINI,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2,33.0,33.5,33.5,33.5,33.5
158,Mali,MLI,Gini index,SI.POV.GINI,,39.9,39.699999999999996,39.5,39.3,39.1,38.9,36.93333333333333,34.96666666666667,33.0,33.333333333333336,33.666666666666664,34.0,34.333333333333336,34.666666666666664,35.0,35.333333333333336,35.666666666666664,36.0,36.0,36.0,36.0,36.0
159,Malta,MLT,Gini index,SI.POV.GINI,,,,,,,28.0,29.2,29.0,30.2,29.0,29.1,29.4,28.8,29.0,29.4,29.1,29.2,28.7,31.0,31.4,31.4,31.4
160,Myanmar,MMR,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,38.1,34.4,30.7,30.7,30.7,30.7,30.7,30.7
162,Montenegro,MNE,Gini index,SI.POV.GINI,,,,,,,,,,,,,41.2,39.0,38.8,39.0,38.5,36.9,36.8,36.8,36.8,36.8,36.8
163,Mongolia,MNG,Gini index,SI.POV.GINI,,,32.9,33.48,34.059999999999995,34.64,35.22,35.8,34.9,34.0,33.1,33.9,33.8,32.9,32.0,32.15,32.3,32.5,32.7,32.7,32.7,32.7,32.7
165,Mozambique,MOZ,Gini index,SI.POV.GINI,,,47.0,46.766666666666666,46.53333333333333,46.3,46.06666666666667,45.833333333333336,45.6,47.0,48.4,49.8,51.2,52.6,54.0,53.3,52.6,51.9,51.2,50.5,50.5,50.5,50.5
166,Mauritania,MRT,Gini index,SI.POV.GINI,39.0,39.3,39.6,39.900000000000006,40.2,39.075,37.95,36.825,35.7,35.18333333333334,34.66666666666667,34.150000000000006,33.63333333333333,33.11666666666667,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
